review,rating,date,bank,source,review_clean,vader_compound,sentiment_vader,sent_label,sent_score,text,theme_primary
office branches have to improve their services please,4,2025-10-07,BOA,google_play,office branches have to improve their services please,0.6369,positive,positive,0.6649660468101501,office branches have to improve their services please,other
♥️♥️,5,2025-10-05,BOA,google_play,♥️♥️,0.0,neutral,positive,0.9437572360038756,♥️♥️,other
Why does it keep crashing? I can't even use this. BOA should do better. You have many customers and how to deal with this. I can't send money now.,1,2025-10-05,BOA,google_play,why does it keep crashing? i can't even use this. boa should do better. you have many customers and how to deal with this. i can't send money now.,0.4404,positive,negative,0.9988381266593932,why does it keep crashing? i can't even use this. boa should do better. you have many customers and how to deal with this. i can't send money now.,transactions
it needs a timely update,5,2025-10-03,BOA,google_play,it needs a timely update,0.0,neutral,negative,0.9983032941818236,it needs a timely update,other
"It does not show the name of the person who sent the money to request a receipt. This has become very difficult for us. When different people transfer the same amount to me from different banks, it is very difficult to identify the account or the name of the sender.",3,2025-10-01,BOA,google_play,"it does not show the name of the person who sent the money to request a receipt. this has become very difficult for us. when different people transfer the same amount to me from different banks, it is very difficult to identify the account or the name of the sender.",-0.6794,negative,negative,0.9997054934501648,"it does not show the name of the person who sent the money to request a receipt. this has become very difficult for us. when different people transfer the same amount to me from different banks, it is very difficult to identify the account or the name of the sender.",transactions
Like,5,2025-10-01,BOA,google_play,like,0.3612,positive,positive,0.9910564422607422,like,other
I can't type my otp on it.,1,2025-10-01,BOA,google_play,i can't type my otp on it.,0.0,neutral,negative,0.9990899562835692,i can't type my otp on it.,account_access
"most of bank apps in Ethiopia are linked with ethiopian phone number, I live in US permanently so when I open BoA account, I told them where I live and to link it with email address instead of phone # as ethio phone number is not working where I live, unfortunetly my fear appeared and now when I change my phone device, it send the code to the ethio number which is not with me now. so please when u develop bank apps consider the diaspora community to use ur apps",1,2025-10-01,BOA,google_play,"most of bank apps in ethiopia are linked with ethiopian phone number, i live in us permanently so when i open boa account, i told them where i live and to link it with email address instead of phone # as ethio phone number is not working where i live, unfortunetly my fear appeared and now when i change my phone device, it send the code to the ethio number which is not with me now. so please when u develop bank apps consider the diaspora community to use ur apps",0.1757,positive,negative,0.997710943222046,"most of bank apps in ethiopia are linked with ethiopian phone number, i live in us permanently so when i open boa account, i told them where i live and to link it with email address instead of phone # as ethio phone number is not working where i live, unfortunetly my fear appeared and now when i change my phone device, it send the code to the ethio number which is not with me now. so please when u develop bank apps consider the diaspora community to use ur apps",transactions
jaajja,4,2025-09-30,BOA,google_play,jaajja,0.0,neutral,negative,0.9872855544090272,jaajja,other
I love this bank the best experience ever.,5,2025-09-28,BOA,google_play,i love this bank the best experience ever.,0.8555,positive,positive,0.9998602867126464,i love this bank the best experience ever.,other
"Nothing has been improved, it doesn't work like the previous version.",1,2025-09-25,BOA,google_play,"nothing has been improved, it doesn't work like the previous version.",-0.5667,negative,negative,0.9997023940086364,"nothing has been improved, it doesn't work like the previous version.",other
easy and fast,5,2025-09-24,BOA,google_play,easy and fast,0.4404,positive,positive,0.9995583891868592,easy and fast,other
Great,5,2025-09-20,BOA,google_play,great,0.6249,positive,positive,0.9998630285263062,great,other
mobile banking,5,2025-09-19,BOA,google_play,mobile banking,0.0,neutral,positive,0.9076532125473022,mobile banking,other
😎,5,2025-09-18,BOA,google_play,😎,0.0,neutral,negative,0.6970565915107727,😎,other
"need alot of connection, chooses device, very lug even when there is connection",1,2025-09-17,BOA,google_play,"need alot of connection, chooses device, very lug even when there is connection",0.0,neutral,negative,0.9918755292892456,"need alot of connection, chooses device, very lug even when there is connection",other
On my ios it's perfect but on android it barley works and don't transfer and after a while it crushed and totally stopped working. Please fix the issue my beloved bank of abyssinia.,1,2025-09-15,BOA,google_play,on my ios it's perfect but on android it barley works and don't transfer and after a while it crushed and totally stopped working. please fix the issue my beloved bank of abyssinia.,0.5656,positive,negative,0.9964402318000792,on my ios it's perfect but on android it barley works and don't transfer and after a while it crushed and totally stopped working. please fix the issue my beloved bank of abyssinia.,transactions
since the last update i can open the app crashes a lot and omg its being very slow opening and loading,2,2025-09-15,BOA,google_play,since the last update i can open the app crashes a lot and omg its being very slow opening and loading,0.0,neutral,negative,0.999541401863098,since the last update i can open the app crashes a lot and omg its being very slow opening and loading,transactions
none,5,2025-09-14,BOA,google_play,none,0.0,neutral,negative,0.985345721244812,none,other
very good app i ever used,5,2025-09-12,BOA,google_play,very good app i ever used,0.4927,positive,positive,0.9998385906219482,very good app i ever used,other
its nice app especially the transaction limit is extended but We face that BoA m.banking app doesn't respond at the activation stage strictly at SMSNG mobile phone. please try this to make safe.,4,2025-09-11,BOA,google_play,its nice app especially the transaction limit is extended but we face that boa m.banking app doesn't respond at the activation stage strictly at smsng mobile phone. please try this to make safe.,0.8271,positive,negative,0.9979867935180664,its nice app especially the transaction limit is extended but we face that boa m.banking app doesn't respond at the activation stage strictly at smsng mobile phone. please try this to make safe.,transactions
zedo,5,2025-09-11,BOA,google_play,zedo,0.0,neutral,positive,0.994045615196228,zedo,other
please open my mobile app,5,2025-09-10,BOA,google_play,please open my mobile app,0.3182,positive,positive,0.9873003363609314,please open my mobile app,other
it doesn't open,1,2025-09-10,BOA,google_play,it doesn't open,0.0,neutral,negative,0.9997527003288268,it doesn't open,other
Very Good,5,2025-09-09,BOA,google_play,very good,0.4927,positive,positive,0.9998520612716676,very good,other
masha alla,5,2025-09-08,BOA,google_play,masha alla,0.0,neutral,negative,0.9514626860618592,masha alla,other
Best banking transaction application in Ethiopia !,5,2025-09-05,BOA,google_play,best banking transaction application in ethiopia !,0.6696,positive,positive,0.9996905326843262,best banking transaction application in ethiopia !,transactions
السلام عليكم ورحمة الله وبركاته ماشاء الله تبارك الرحمن هذا التطبيق ممتاز جدا,5,2025-09-04,BOA,google_play,السلام عليكم ورحمة الله وبركاته ماشاء الله تبارك الرحمن هذا التطبيق ممتاز جدا,0.0,neutral,negative,0.5818164348602295,السلام عليكم ورحمة الله وبركاته ماشاء الله تبارك الرحمن هذا التطبيق ممتاز جدا,other
tamaam kamal,1,2025-09-04,BOA,google_play,tamaam kamal,0.0,neutral,positive,0.991887390613556,tamaam kamal,other
በጣም ሐሪፍ,5,2025-09-03,BOA,google_play,በጣም ሐሪፍ,0.0,neutral,negative,0.7850590348243713,በጣም ሐሪፍ,other
great 👍,5,2025-09-02,BOA,google_play,great 👍,0.6249,positive,positive,0.9997692704200744,great 👍,other
goof,4,2025-09-01,BOA,google_play,goof,0.0,neutral,negative,0.9975278973579408,goof,other
absiniya banki,5,2025-08-29,BOA,google_play,absiniya banki,0.0,neutral,negative,0.9083040952682496,absiniya banki,other
has issue after installation and i think it doesn't work with tecno common 30,1,2025-08-26,BOA,google_play,has issue after installation and i think it doesn't work with tecno common 30,0.0,neutral,negative,0.9996929168701172,has issue after installation and i think it doesn't work with tecno common 30,other
One of the best in this business,5,2025-08-25,BOA,google_play,one of the best in this business,0.6369,positive,positive,0.999869465827942,one of the best in this business,other
Excellent,5,2025-08-20,BOA,google_play,excellent,0.5719,positive,positive,0.9998434782028198,excellent,other
besat🥰,5,2025-08-19,BOA,google_play,besat🥰,0.0,neutral,negative,0.6970565915107727,besat🥰,other
unlimited experience,5,2025-08-18,BOA,google_play,unlimited experience,0.0,neutral,positive,0.9997161030769348,unlimited experience,other
"as bank, u should at least hire someone good at their job bc this a joke nowadays I can't even log in or even transfer without it crashing if u fix the app I will update this review I am counting on u boa update: so they atleast fixed it but as suggestion can u put password when in final step of sending money it will feel more secure that way",4,2025-08-17,BOA,google_play,"as bank, u should at least hire someone good at their job bc this a joke nowadays i can't even log in or even transfer without it crashing if u fix the app i will update this review i am counting on u boa update: so they atleast fixed it but as suggestion can u put password when in final step of sending money it will feel more secure that way",0.7383,positive,negative,0.999123990535736,"as bank, u should at least hire someone good at their job bc this a joke nowadays i can't even log in or even transfer without it crashing if u fix the app i will update this review i am counting on u boa update: so they atleast fixed it but as suggestion can u put password when in final step of sending money it will feel more secure that way",transactions
very nice mobile banking app my favourite,5,2025-08-16,BOA,google_play,very nice mobile banking app my favourite,0.4754,positive,positive,0.9997608065605164,very nice mobile banking app my favourite,other
"it almost never boots up!!! and even if it did, it crashes immediately",1,2025-08-15,BOA,google_play,"it almost never boots up!!! and even if it did, it crashes immediately",0.0,neutral,negative,0.9977737069129944,"it almost never boots up!!! and even if it did, it crashes immediately",crash_bug
best apps,5,2025-08-15,BOA,google_play,best apps,0.6369,positive,positive,0.999784529209137,best apps,other
the worst app ever to exist in a bank history,1,2025-08-15,BOA,google_play,the worst app ever to exist in a bank history,-0.6249,negative,negative,0.9997841715812684,the worst app ever to exist in a bank history,other
thank you,5,2025-08-14,BOA,google_play,thank you,0.3612,positive,positive,0.9998352527618408,thank you,other
Best mobile app in the country,5,2025-08-14,BOA,google_play,best mobile app in the country,0.6369,positive,positive,0.999710738658905,best mobile app in the country,other
not fast,2,2025-08-12,BOA,google_play,not fast,0.0,neutral,negative,0.9949790835380554,not fast,other
keeps freezing at the front page.,1,2025-08-10,BOA,google_play,keeps freezing at the front page.,-0.1027,negative,negative,0.9948282837867736,keeps freezing at the front page.,other
it is not working on redminote 11 pro+ pls fix it,1,2025-08-08,BOA,google_play,it is not working on redminote 11 pro+ pls fix it,0.0772,positive,negative,0.9996861219406128,it is not working on redminote 11 pro+ pls fix it,other
abseniya bank app,5,2025-08-08,BOA,google_play,abseniya bank app,0.0,neutral,negative,0.6962249279022217,abseniya bank app,other
yes goode app,5,2025-08-03,BOA,google_play,yes goode app,0.4019,positive,positive,0.9997490048408508,yes goode app,other
Great App,5,2025-08-02,BOA,google_play,great app,0.6249,positive,positive,0.999821126461029,great app,other
1) Crashes repeatedly 2) Takes Century to Boot 3) Repeatedly requires Update which is very annoying. 4) It doesn't ask for Password for one step confirmation when transferring money. 5) Automatically stops music when the app is launched (it doesn't really matter just fyi) Overall this have to be the worst mobile banking app I have tried so far and should not be released with all these bugs & issues.,1,2025-08-02,BOA,google_play,1) crashes repeatedly 2) takes century to boot 3) repeatedly requires update which is very annoying. 4) it doesn't ask for password for one step confirmation when transferring money. 5) automatically stops music when the app is launched (it doesn't really matter just fyi) overall this have to be the worst mobile banking app i have tried so far and should not be released with all these bugs & issues.,-0.8168,negative,negative,0.999749481678009,1) crashes repeatedly 2) takes century to boot 3) repeatedly requires update which is very annoying. 4) it doesn't ask for password for one step confirmation when transferring money. 5) automatically stops music when the app is launched (it doesn't really matter just fyi) overall this have to be the worst mobile banking app i have tried so far and should not be released with all these bugs & issues.,crash_bug
ረጀብነሱ,1,2025-07-31,BOA,google_play,ረጀብነሱ,0.0,neutral,negative,0.6970565915107727,ረጀብነሱ,other
The Worst Mobile Banking App.,1,2025-07-31,BOA,google_play,the worst mobile banking app.,-0.6249,negative,negative,0.9997994303703308,the worst mobile banking app.,other
giod,5,2025-07-30,BOA,google_play,giod,0.0,neutral,positive,0.9893913269042968,giod,other
best bank in ethiopia,5,2025-07-29,BOA,google_play,best bank in ethiopia,0.6369,positive,positive,0.999733030796051,best bank in ethiopia,other
waqayyoo,5,2025-07-28,BOA,google_play,waqayyoo,0.0,neutral,positive,0.5036855340003967,waqayyoo,other
please is not working,2,2025-07-27,BOA,google_play,please is not working,0.3182,positive,negative,0.9997643828392028,please is not working,other
nothing when I need to install the Apk it say that re-up date,5,2025-07-25,BOA,google_play,nothing when i need to install the apk it say that re-up date,0.0,neutral,negative,0.9985933899879456,nothing when i need to install the apk it say that re-up date,other
I can log in from any where,5,2025-07-23,BOA,google_play,i can log in from any where,0.0,neutral,negative,0.9497753977775574,i can log in from any where,other
😇,3,2025-07-21,BOA,google_play,😇,0.0,neutral,negative,0.6970565915107727,😇,other
no proplem,5,2025-07-20,BOA,google_play,no proplem,-0.296,negative,negative,0.991222620010376,no proplem,other
👍👍👍,5,2025-07-20,BOA,google_play,👍👍👍,0.0,neutral,negative,0.6970565915107727,👍👍👍,other
excellent app,5,2025-07-18,BOA,google_play,excellent app,0.5719,positive,positive,0.9998356103897096,excellent app,other
good work,5,2025-07-15,BOA,google_play,good work,0.4404,positive,positive,0.999841332435608,good work,other
☹️,5,2025-07-15,BOA,google_play,☹️,0.0,neutral,negative,0.6970565915107727,☹️,other
excellent,5,2025-07-14,BOA,google_play,excellent,0.5719,positive,positive,0.9998434782028198,excellent,other
Great BoA,5,2025-07-14,BOA,google_play,great boa,0.6249,positive,positive,0.9992689490318298,great boa,other
Good,5,2025-07-14,BOA,google_play,good,0.4404,positive,positive,0.999816119670868,good,other
Okay,4,2025-07-13,BOA,google_play,okay,0.2263,positive,positive,0.9997709393501282,okay,other
not working,1,2025-07-12,BOA,google_play,not working,0.0,neutral,negative,0.999777853488922,not working,other
This App is Getting worse and worse with every update,2,2025-07-11,BOA,google_play,this app is getting worse and worse with every update,-0.7351,negative,negative,0.999568521976471,this app is getting worse and worse with every update,other
ምርጥ ነው,1,2025-07-10,BOA,google_play,ምርጥ ነው,0.0,neutral,negative,0.7850590348243713,ምርጥ ነው,other
nice,5,2025-07-10,BOA,google_play,nice,0.4215,positive,positive,0.9998552799224854,nice,other
meku,5,2025-07-07,BOA,google_play,meku,0.0,neutral,positive,0.9421749114990234,meku,other
awasome app go a head,5,2025-07-04,BOA,google_play,awasome app go a head,0.0,neutral,negative,0.998092234134674,awasome app go a head,other
it sucks as hell. it crashes most of the time and takes a long time to load .,1,2025-07-03,BOA,google_play,it sucks as hell. it crashes most of the time and takes a long time to load .,-0.7964,negative,negative,0.9994389414787292,it sucks as hell. it crashes most of the time and takes a long time to load .,crash_bug
"The App is nice and easy to use but after some time it crushed and said ""Error check your device connectivity"" please fix it",3,2025-07-02,BOA,google_play,"the app is nice and easy to use but after some time it crushed and said ""error check your device connectivity"" please fix it",-0.3506,negative,negative,0.9973018169403076,"the app is nice and easy to use but after some time it crushed and said ""error check your device connectivity"" please fix it",crash_bug
Easy and very nice app to load more than the previouse but in recent time some loading problem detected.,5,2025-07-01,BOA,google_play,easy and very nice app to load more than the previouse but in recent time some loading problem detected.,-0.1415,negative,negative,0.9851245284080504,easy and very nice app to load more than the previouse but in recent time some loading problem detected.,transactions
wow,5,2025-07-01,BOA,google_play,wow,0.5859,positive,positive,0.999592125415802,wow,other
"The worst MBA I have experienced, The app crush frequently and they take to long to fix the problem even more than a week.",1,2025-06-27,BOA,google_play,"the worst mba i have experienced, the app crush frequently and they take to long to fix the problem even more than a week.",-0.8126,negative,negative,0.9996988773345948,"the worst mba i have experienced, the app crush frequently and they take to long to fix the problem even more than a week.",other
amazing Banks App👌👌,3,2025-06-25,BOA,google_play,amazing banks app👌👌,0.5859,positive,positive,0.9998063445091248,amazing banks app👌👌,other
good App fore me,5,2025-06-25,BOA,google_play,good app fore me,0.4404,positive,positive,0.9998444318771362,good app fore me,other
"very uninterested it's not working when the ""developer mode on"" i haven't off the developer options i preferred to uninstall your app .....",1,2025-06-24,BOA,google_play,"very uninterested it's not working when the ""developer mode on"" i haven't off the developer options i preferred to uninstall your app .....",0.0,neutral,negative,0.9995253086090088,"very uninterested it's not working when the ""developer mode on"" i haven't off the developer options i preferred to uninstall your app .....",other
fantastic,5,2025-06-22,BOA,google_play,fantastic,0.5574,positive,positive,0.9998743534088136,fantastic,other
👍,4,2025-06-21,BOA,google_play,👍,0.0,neutral,negative,0.6970565915107727,👍,other
it's nice to use.,5,2025-06-21,BOA,google_play,it's nice to use.,0.4215,positive,positive,0.999835729598999,it's nice to use.,other
app doesn't start,1,2025-06-21,BOA,google_play,app doesn't start,0.0,neutral,negative,0.9973676800727844,app doesn't start,other
Excellent application,5,2025-06-18,BOA,google_play,excellent application,0.5719,positive,positive,0.9998571872711182,excellent application,other
its very bad app its very slow,1,2025-06-17,BOA,google_play,its very bad app its very slow,-0.5849,negative,negative,0.9998086094856262,its very bad app its very slow,transactions
ብዙዬ ሺዋየ በለጠ,1,2025-06-15,BOA,google_play,ብዙዬ ሺዋየ በለጠ,0.0,neutral,negative,0.8337252736091614,ብዙዬ ሺዋየ በለጠ,other
Good job!,5,2025-06-13,BOA,google_play,good job!,0.4926,positive,positive,0.9998481273651124,good job!,other
best financial app.,5,2025-06-12,BOA,google_play,best financial app.,0.6369,positive,positive,0.9997761845588684,best financial app.,other
ቆንጆ ነው በርቱ,5,2025-06-11,BOA,google_play,ቆንጆ ነው በርቱ,0.0,neutral,negative,0.8337252736091614,ቆንጆ ነው በርቱ,other
the worst app humans ever created,1,2025-06-09,BOA,google_play,the worst app humans ever created,-0.4767,negative,negative,0.9998008608818054,the worst app humans ever created,other
it's not working,3,2025-06-05,BOA,google_play,it's not working,0.0,neutral,negative,0.9997857213020324,it's not working,other
"Hello, I’m facing a problem with the BOA Mobile app. Every time I enter my phone number and password, the app crashes and shows an error that says “BoaMobile closed because this app has a bug.” I tried updating, reinstalling, and clearing cache, but nothing worked. Please fix this bug in the next update. I really need access to my account. Thank you.",1,2025-06-03,BOA,google_play,"hello, i’m facing a problem with the boa mobile app. every time i enter my phone number and password, the app crashes and shows an error that says “boamobile closed because this app has a bug.” i tried updating, reinstalling, and clearing cache, but nothing worked. please fix this bug in the next update. i really need access to my account. thank you.",-0.1884,negative,negative,0.999415159225464,"hello, i’m facing a problem with the boa mobile app. every time i enter my phone number and password, the app crashes and shows an error that says “boamobile closed because this app has a bug.” i tried updating, reinstalling, and clearing cache, but nothing worked. please fix this bug in the next update. i really need access to my account. thank you.",crash_bug
exceptional,5,2025-06-03,BOA,google_play,exceptional,0.0,neutral,positive,0.9998514652252196,exceptional,other
BoA Mobile good bank,5,2025-06-02,BOA,google_play,boa mobile good bank,0.4404,positive,positive,0.9984728693962096,boa mobile good bank,other
this is worest app 24/7 loading,1,2025-06-01,BOA,google_play,this is worest app 24/7 loading,0.0,neutral,negative,0.993474304676056,this is worest app 24/7 loading,transactions
BoA system is confartable,5,2025-06-01,BOA,google_play,boa system is confartable,0.0,neutral,negative,0.9980142116546632,boa system is confartable,other
