review,rating,date,bank,source,review_clean,vader_compound,sentiment_vader,sent_label,sent_score,text,theme_primary
The best bank in 🇪🇹,5,2025-10-23,BOA,google_play,the best bank in 🇪🇹,0.6369,positive,positive,0.9998179078102112,the best bank in 🇪🇹,Mobile Banking Experience / Slowness
its good,5,2025-10-22,BOA,google_play,its good,0.4404,positive,positive,0.9998385906219482,its good,App Functionality / Reliability
the worst app in my financial experience.,1,2025-10-22,BOA,google_play,the worst app in my financial experience.,-0.6249,negative,negative,0.9997914433479308,the worst app in my financial experience.,Usability / User Complaints
good for mb appliciation,5,2025-10-21,BOA,google_play,good for mb appliciation,0.4404,positive,positive,0.9943337440490724,good for mb appliciation,App Functionality / Reliability
the worst bank ever. slow don't accept dual sim. they are very stupid and greedy,1,2025-10-20,BOA,google_play,the worst bank ever. slow don't accept dual sim. they are very stupid and greedy,-0.9107,negative,negative,0.9997623562812804,the worst bank ever. slow don't accept dual sim. they are very stupid and greedy,Usability / User Complaints
try to easy network,4,2025-10-17,BOA,google_play,try to easy network,0.4404,positive,negative,0.9987332224845886,try to easy network,Usability / User Complaints
hussen hassen umer,5,2025-10-16,BOA,google_play,hussen hassen umer,0.0,neutral,positive,0.8681215047836304,hussen hassen umer,Banking Service & Money Handling
"The app is not suitable and lacks a good UI design. As a large bank, you must update your app with a professional UI that is fast and appropriate.",2,2025-10-16,BOA,google_play,"the app is not suitable and lacks a good ui design. as a large bank, you must update your app with a professional ui that is fast and appropriate.",0.4404,positive,negative,0.9988431930541992,"the app is not suitable and lacks a good ui design. as a large bank, you must update your app with a professional ui that is fast and appropriate.",App Performance & Updates
an exceptional banking app.,5,2025-10-16,BOA,google_play,an exceptional banking app.,0.0,neutral,positive,0.9997233748435974,an exceptional banking app.,Banking Service & Money Handling
alhamdulilah,5,2025-10-11,BOA,google_play,alhamdulilah,0.0,neutral,positive,0.8558264374732971,alhamdulilah,App Functionality / Reliability
poor,5,2025-10-11,BOA,google_play,poor,-0.4767,negative,negative,0.9997912049293518,poor,App Performance & Updates
Best of best,5,2025-10-09,BOA,google_play,best of best,0.8555,positive,positive,0.9997496008872986,best of best,Mobile Banking Experience / Slowness
from the last week updates the app is not working Please check the problems,1,2025-10-08,BOA,google_play,from the last week updates the app is not working please check the problems,-0.5664,negative,negative,0.9996919631958008,from the last week updates the app is not working please check the problems,Mobile Banking Experience / Slowness
It's always crushing,1,2025-10-08,BOA,google_play,it's always crushing,-0.3612,negative,negative,0.999380588531494,it's always crushing,Mobile Banking Experience / Slowness
office branches have to improve their services please,4,2025-10-07,BOA,google_play,office branches have to improve their services please,0.6369,positive,positive,0.6649660468101501,office branches have to improve their services please,Mobile Banking Experience / Slowness
♥️♥️,5,2025-10-05,BOA,google_play,♥️♥️,0.0,neutral,positive,0.9437572360038756,♥️♥️,App Functionality / Reliability
Why does it keep crashing? I can't even use this. BOA should do better. You have many customers and how to deal with this. I can't send money now.,1,2025-10-05,BOA,google_play,why does it keep crashing? i can't even use this. boa should do better. you have many customers and how to deal with this. i can't send money now.,0.4404,positive,negative,0.9988381266593932,why does it keep crashing? i can't even use this. boa should do better. you have many customers and how to deal with this. i can't send money now.,Mobile Banking Experience / Slowness
it needs a timely update,5,2025-10-03,BOA,google_play,it needs a timely update,0.0,neutral,negative,0.9983032941818236,it needs a timely update,App Performance & Updates
"It does not show the name of the person who sent the money to request a receipt. This has become very difficult for us. When different people transfer the same amount to me from different banks, it is very difficult to identify the account or the name of the sender.",3,2025-10-01,BOA,google_play,"it does not show the name of the person who sent the money to request a receipt. this has become very difficult for us. when different people transfer the same amount to me from different banks, it is very difficult to identify the account or the name of the sender.",-0.6794,negative,negative,0.9997054934501648,"it does not show the name of the person who sent the money to request a receipt. this has become very difficult for us. when different people transfer the same amount to me from different banks, it is very difficult to identify the account or the name of the sender.",Usability / User Complaints
Like,5,2025-10-01,BOA,google_play,like,0.3612,positive,positive,0.9910564422607422,like,Usability / User Complaints
I can't type my otp on it.,1,2025-10-01,BOA,google_play,i can't type my otp on it.,0.0,neutral,negative,0.9990899562835692,i can't type my otp on it.,App Functionality / Reliability
"most of bank apps in Ethiopia are linked with ethiopian phone number, I live in US permanently so when I open BoA account, I told them where I live and to link it with email address instead of phone # as ethio phone number is not working where I live, unfortunetly my fear appeared and now when I change my phone device, it send the code to the ethio number which is not with me now. so please when u develop bank apps consider the diaspora community to use ur apps",1,2025-10-01,BOA,google_play,"most of bank apps in ethiopia are linked with ethiopian phone number, i live in us permanently so when i open boa account, i told them where i live and to link it with email address instead of phone # as ethio phone number is not working where i live, unfortunetly my fear appeared and now when i change my phone device, it send the code to the ethio number which is not with me now. so please when u develop bank apps consider the diaspora community to use ur apps",0.1757,positive,negative,0.997710943222046,"most of bank apps in ethiopia are linked with ethiopian phone number, i live in us permanently so when i open boa account, i told them where i live and to link it with email address instead of phone # as ethio phone number is not working where i live, unfortunetly my fear appeared and now when i change my phone device, it send the code to the ethio number which is not with me now. so please when u develop bank apps consider the diaspora community to use ur apps",Banking Service & Money Handling
jaajja,4,2025-09-30,BOA,google_play,jaajja,0.0,neutral,negative,0.9872855544090272,jaajja,Usability / User Complaints
I love this bank the best experience ever.,5,2025-09-28,BOA,google_play,i love this bank the best experience ever.,0.8555,positive,positive,0.9998602867126464,i love this bank the best experience ever.,Mobile Banking Experience / Slowness
"Nothing has been improved, it doesn't work like the previous version.",1,2025-09-25,BOA,google_play,"nothing has been improved, it doesn't work like the previous version.",-0.5667,negative,negative,0.9997023940086364,"nothing has been improved, it doesn't work like the previous version.",App Performance & Updates
easy and fast,5,2025-09-24,BOA,google_play,easy and fast,0.4404,positive,positive,0.9995583891868592,easy and fast,Usability / User Complaints
Great,5,2025-09-20,BOA,google_play,great,0.6249,positive,positive,0.9998630285263062,great,Mobile Banking Experience / Slowness
mobile banking,5,2025-09-19,BOA,google_play,mobile banking,0.0,neutral,positive,0.9076532125473022,mobile banking,App Performance & Updates
😎,5,2025-09-18,BOA,google_play,😎,0.0,neutral,negative,0.6970565915107727,😎,App Functionality / Reliability
"need alot of connection, chooses device, very lug even when there is connection",1,2025-09-17,BOA,google_play,"need alot of connection, chooses device, very lug even when there is connection",0.0,neutral,negative,0.9918755292892456,"need alot of connection, chooses device, very lug even when there is connection",Banking Service & Money Handling
On my ios it's perfect but on android it barley works and don't transfer and after a while it crushed and totally stopped working. Please fix the issue my beloved bank of abyssinia.,1,2025-09-15,BOA,google_play,on my ios it's perfect but on android it barley works and don't transfer and after a while it crushed and totally stopped working. please fix the issue my beloved bank of abyssinia.,0.5656,positive,negative,0.9964402318000792,on my ios it's perfect but on android it barley works and don't transfer and after a while it crushed and totally stopped working. please fix the issue my beloved bank of abyssinia.,App Performance & Updates
since the last update i can open the app crashes a lot and omg its being very slow opening and loading,2,2025-09-15,BOA,google_play,since the last update i can open the app crashes a lot and omg its being very slow opening and loading,0.0,neutral,negative,0.999541401863098,since the last update i can open the app crashes a lot and omg its being very slow opening and loading,App Performance & Updates
none,5,2025-09-14,BOA,google_play,none,0.0,neutral,negative,0.985345721244812,none,App Functionality / Reliability
very good app i ever used,5,2025-09-12,BOA,google_play,very good app i ever used,0.4927,positive,positive,0.9998385906219482,very good app i ever used,App Functionality / Reliability
its nice app especially the transaction limit is extended but We face that BoA m.banking app doesn't respond at the activation stage strictly at SMSNG mobile phone. please try this to make safe.,4,2025-09-11,BOA,google_play,its nice app especially the transaction limit is extended but we face that boa m.banking app doesn't respond at the activation stage strictly at smsng mobile phone. please try this to make safe.,0.8271,positive,negative,0.9979867935180664,its nice app especially the transaction limit is extended but we face that boa m.banking app doesn't respond at the activation stage strictly at smsng mobile phone. please try this to make safe.,App Performance & Updates
zedo,5,2025-09-11,BOA,google_play,zedo,0.0,neutral,positive,0.994045615196228,zedo,App Functionality / Reliability
please open my mobile app,5,2025-09-10,BOA,google_play,please open my mobile app,0.3182,positive,positive,0.9873003363609314,please open my mobile app,App Performance & Updates
it doesn't open,1,2025-09-10,BOA,google_play,it doesn't open,0.0,neutral,negative,0.9997527003288268,it doesn't open,App Performance & Updates
Very Good,5,2025-09-09,BOA,google_play,very good,0.4927,positive,positive,0.9998520612716676,very good,App Functionality / Reliability
masha alla,5,2025-09-08,BOA,google_play,masha alla,0.0,neutral,negative,0.9514626860618592,masha alla,Usability / User Complaints
Best banking transaction application in Ethiopia !,5,2025-09-05,BOA,google_play,best banking transaction application in ethiopia !,0.6696,positive,positive,0.9996905326843262,best banking transaction application in ethiopia !,App Performance & Updates
السلام عليكم ورحمة الله وبركاته ماشاء الله تبارك الرحمن هذا التطبيق ممتاز جدا,5,2025-09-04,BOA,google_play,السلام عليكم ورحمة الله وبركاته ماشاء الله تبارك الرحمن هذا التطبيق ممتاز جدا,0.0,neutral,negative,0.5818164348602295,السلام عليكم ورحمة الله وبركاته ماشاء الله تبارك الرحمن هذا التطبيق ممتاز جدا,App Performance & Updates
tamaam kamal,1,2025-09-04,BOA,google_play,tamaam kamal,0.0,neutral,positive,0.991887390613556,tamaam kamal,Usability / User Complaints
በጣም ሐሪፍ,5,2025-09-03,BOA,google_play,በጣም ሐሪፍ,0.0,neutral,negative,0.7850590348243713,በጣም ሐሪፍ,App Performance & Updates
great 👍,5,2025-09-02,BOA,google_play,great 👍,0.6249,positive,positive,0.9997692704200744,great 👍,Mobile Banking Experience / Slowness
goof,4,2025-09-01,BOA,google_play,goof,0.0,neutral,negative,0.9975278973579408,goof,Mobile Banking Experience / Slowness
absiniya banki,5,2025-08-29,BOA,google_play,absiniya banki,0.0,neutral,negative,0.9083040952682496,absiniya banki,App Functionality / Reliability
has issue after installation and i think it doesn't work with tecno common 30,1,2025-08-26,BOA,google_play,has issue after installation and i think it doesn't work with tecno common 30,0.0,neutral,negative,0.9996929168701172,has issue after installation and i think it doesn't work with tecno common 30,App Performance & Updates
One of the best in this business,5,2025-08-25,BOA,google_play,one of the best in this business,0.6369,positive,positive,0.999869465827942,one of the best in this business,App Performance & Updates
Excellent,5,2025-08-20,BOA,google_play,excellent,0.5719,positive,positive,0.9998434782028198,excellent,Banking Service & Money Handling
besat🥰,5,2025-08-19,BOA,google_play,besat🥰,0.0,neutral,negative,0.6970565915107727,besat🥰,App Functionality / Reliability
unlimited experience,5,2025-08-18,BOA,google_play,unlimited experience,0.0,neutral,positive,0.9997161030769348,unlimited experience,App Functionality / Reliability
"as bank, u should at least hire someone good at their job bc this a joke nowadays I can't even log in or even transfer without it crashing if u fix the app I will update this review I am counting on u boa update: so they atleast fixed it but as suggestion can u put password when in final step of sending money it will feel more secure that way",4,2025-08-17,BOA,google_play,"as bank, u should at least hire someone good at their job bc this a joke nowadays i can't even log in or even transfer without it crashing if u fix the app i will update this review i am counting on u boa update: so they atleast fixed it but as suggestion can u put password when in final step of sending money it will feel more secure that way",0.7383,positive,negative,0.999123990535736,"as bank, u should at least hire someone good at their job bc this a joke nowadays i can't even log in or even transfer without it crashing if u fix the app i will update this review i am counting on u boa update: so they atleast fixed it but as suggestion can u put password when in final step of sending money it will feel more secure that way",App Functionality / Reliability
very nice mobile banking app my favourite,5,2025-08-16,BOA,google_play,very nice mobile banking app my favourite,0.4754,positive,positive,0.9997608065605164,very nice mobile banking app my favourite,App Performance & Updates
"it almost never boots up!!! and even if it did, it crashes immediately",1,2025-08-15,BOA,google_play,"it almost never boots up!!! and even if it did, it crashes immediately",0.0,neutral,negative,0.9977737069129944,"it almost never boots up!!! and even if it did, it crashes immediately",Usability / User Complaints
best apps,5,2025-08-15,BOA,google_play,best apps,0.6369,positive,positive,0.999784529209137,best apps,Mobile Banking Experience / Slowness
the worst app ever to exist in a bank history,1,2025-08-15,BOA,google_play,the worst app ever to exist in a bank history,-0.6249,negative,negative,0.9997841715812684,the worst app ever to exist in a bank history,Usability / User Complaints
thank you,5,2025-08-14,BOA,google_play,thank you,0.3612,positive,positive,0.9998352527618408,thank you,Banking Service & Money Handling
Best mobile app in the country,5,2025-08-14,BOA,google_play,best mobile app in the country,0.6369,positive,positive,0.999710738658905,best mobile app in the country,App Performance & Updates
not fast,2,2025-08-12,BOA,google_play,not fast,0.0,neutral,negative,0.9949790835380554,not fast,Mobile Banking Experience / Slowness
keeps freezing at the front page.,1,2025-08-10,BOA,google_play,keeps freezing at the front page.,-0.1027,negative,negative,0.9948282837867736,keeps freezing at the front page.,Banking Service & Money Handling
it is not working on redminote 11 pro+ pls fix it,1,2025-08-08,BOA,google_play,it is not working on redminote 11 pro+ pls fix it,0.0772,positive,negative,0.9996861219406128,it is not working on redminote 11 pro+ pls fix it,Mobile Banking Experience / Slowness
abseniya bank app,5,2025-08-08,BOA,google_play,abseniya bank app,0.0,neutral,negative,0.6962249279022217,abseniya bank app,Banking Service & Money Handling
yes goode app,5,2025-08-03,BOA,google_play,yes goode app,0.4019,positive,positive,0.9997490048408508,yes goode app,Banking Service & Money Handling
Great App,5,2025-08-02,BOA,google_play,great app,0.6249,positive,positive,0.999821126461029,great app,Mobile Banking Experience / Slowness
1) Crashes repeatedly 2) Takes Century to Boot 3) Repeatedly requires Update which is very annoying. 4) It doesn't ask for Password for one step confirmation when transferring money. 5) Automatically stops music when the app is launched (it doesn't really matter just fyi) Overall this have to be the worst mobile banking app I have tried so far and should not be released with all these bugs & issues.,1,2025-08-02,BOA,google_play,1) crashes repeatedly 2) takes century to boot 3) repeatedly requires update which is very annoying. 4) it doesn't ask for password for one step confirmation when transferring money. 5) automatically stops music when the app is launched (it doesn't really matter just fyi) overall this have to be the worst mobile banking app i have tried so far and should not be released with all these bugs & issues.,-0.8168,negative,negative,0.999749481678009,1) crashes repeatedly 2) takes century to boot 3) repeatedly requires update which is very annoying. 4) it doesn't ask for password for one step confirmation when transferring money. 5) automatically stops music when the app is launched (it doesn't really matter just fyi) overall this have to be the worst mobile banking app i have tried so far and should not be released with all these bugs & issues.,Usability / User Complaints
ረጀብነሱ,1,2025-07-31,BOA,google_play,ረጀብነሱ,0.0,neutral,negative,0.6970565915107727,ረጀብነሱ,App Functionality / Reliability
The Worst Mobile Banking App.,1,2025-07-31,BOA,google_play,the worst mobile banking app.,-0.6249,negative,negative,0.9997994303703308,the worst mobile banking app.,App Performance & Updates
giod,5,2025-07-30,BOA,google_play,giod,0.0,neutral,positive,0.9893913269042968,giod,Mobile Banking Experience / Slowness
best bank in ethiopia,5,2025-07-29,BOA,google_play,best bank in ethiopia,0.6369,positive,positive,0.999733030796051,best bank in ethiopia,Mobile Banking Experience / Slowness
waqayyoo,5,2025-07-28,BOA,google_play,waqayyoo,0.0,neutral,positive,0.5036855340003967,waqayyoo,App Functionality / Reliability
please is not working,2,2025-07-27,BOA,google_play,please is not working,0.3182,positive,negative,0.9997643828392028,please is not working,App Performance & Updates
nothing when I need to install the Apk it say that re-up date,5,2025-07-25,BOA,google_play,nothing when i need to install the apk it say that re-up date,0.0,neutral,negative,0.9985933899879456,nothing when i need to install the apk it say that re-up date,Banking Service & Money Handling
I can log in from any where,5,2025-07-23,BOA,google_play,i can log in from any where,0.0,neutral,negative,0.9497753977775574,i can log in from any where,App Functionality / Reliability
😇,3,2025-07-21,BOA,google_play,😇,0.0,neutral,negative,0.6970565915107727,😇,App Functionality / Reliability
no proplem,5,2025-07-20,BOA,google_play,no proplem,-0.296,negative,negative,0.991222620010376,no proplem,Banking Service & Money Handling
👍👍👍,5,2025-07-20,BOA,google_play,👍👍👍,0.0,neutral,negative,0.6970565915107727,👍👍👍,App Functionality / Reliability
excellent app,5,2025-07-18,BOA,google_play,excellent app,0.5719,positive,positive,0.9998356103897096,excellent app,Banking Service & Money Handling
good work,5,2025-07-15,BOA,google_play,good work,0.4404,positive,positive,0.999841332435608,good work,App Functionality / Reliability
☹️,5,2025-07-15,BOA,google_play,☹️,0.0,neutral,negative,0.6970565915107727,☹️,App Functionality / Reliability
excellent,5,2025-07-14,BOA,google_play,excellent,0.5719,positive,positive,0.9998434782028198,excellent,Banking Service & Money Handling
Great BoA,5,2025-07-14,BOA,google_play,great boa,0.6249,positive,positive,0.9992689490318298,great boa,Mobile Banking Experience / Slowness
Good,5,2025-07-14,BOA,google_play,good,0.4404,positive,positive,0.999816119670868,good,App Functionality / Reliability
Okay,4,2025-07-13,BOA,google_play,okay,0.2263,positive,positive,0.9997709393501282,okay,Usability / User Complaints
not working,1,2025-07-12,BOA,google_play,not working,0.0,neutral,negative,0.999777853488922,not working,App Performance & Updates
This App is Getting worse and worse with every update,2,2025-07-11,BOA,google_play,this app is getting worse and worse with every update,-0.7351,negative,negative,0.999568521976471,this app is getting worse and worse with every update,App Functionality / Reliability
ምርጥ ነው,1,2025-07-10,BOA,google_play,ምርጥ ነው,0.0,neutral,negative,0.7850590348243713,ምርጥ ነው,App Performance & Updates
nice,5,2025-07-10,BOA,google_play,nice,0.4215,positive,positive,0.9998552799224854,nice,App Performance & Updates
meku,5,2025-07-07,BOA,google_play,meku,0.0,neutral,positive,0.9421749114990234,meku,App Performance & Updates
awasome app go a head,5,2025-07-04,BOA,google_play,awasome app go a head,0.0,neutral,negative,0.998092234134674,awasome app go a head,Banking Service & Money Handling
it sucks as hell. it crashes most of the time and takes a long time to load .,1,2025-07-03,BOA,google_play,it sucks as hell. it crashes most of the time and takes a long time to load .,-0.7964,negative,negative,0.9994389414787292,it sucks as hell. it crashes most of the time and takes a long time to load .,Usability / User Complaints
"The App is nice and easy to use but after some time it crushed and said ""Error check your device connectivity"" please fix it",3,2025-07-02,BOA,google_play,"the app is nice and easy to use but after some time it crushed and said ""error check your device connectivity"" please fix it",-0.3506,negative,negative,0.9973018169403076,"the app is nice and easy to use but after some time it crushed and said ""error check your device connectivity"" please fix it",Mobile Banking Experience / Slowness
Easy and very nice app to load more than the previouse but in recent time some loading problem detected.,5,2025-07-01,BOA,google_play,easy and very nice app to load more than the previouse but in recent time some loading problem detected.,-0.1415,negative,negative,0.9851245284080504,easy and very nice app to load more than the previouse but in recent time some loading problem detected.,App Performance & Updates
wow,5,2025-07-01,BOA,google_play,wow,0.5859,positive,positive,0.999592125415802,wow,Usability / User Complaints
"The worst MBA I have experienced, The app crush frequently and they take to long to fix the problem even more than a week.",1,2025-06-27,BOA,google_play,"the worst mba i have experienced, the app crush frequently and they take to long to fix the problem even more than a week.",-0.8126,negative,negative,0.9996988773345948,"the worst mba i have experienced, the app crush frequently and they take to long to fix the problem even more than a week.",Mobile Banking Experience / Slowness
amazing Banks App👌👌,3,2025-06-25,BOA,google_play,amazing banks app👌👌,0.5859,positive,positive,0.9998063445091248,amazing banks app👌👌,Banking Service & Money Handling
good App fore me,5,2025-06-25,BOA,google_play,good app fore me,0.4404,positive,positive,0.9998444318771362,good app fore me,App Functionality / Reliability
"very uninterested it's not working when the ""developer mode on"" i haven't off the developer options i preferred to uninstall your app .....",1,2025-06-24,BOA,google_play,"very uninterested it's not working when the ""developer mode on"" i haven't off the developer options i preferred to uninstall your app .....",0.0,neutral,negative,0.9995253086090088,"very uninterested it's not working when the ""developer mode on"" i haven't off the developer options i preferred to uninstall your app .....",Banking Service & Money Handling
fantastic,5,2025-06-22,BOA,google_play,fantastic,0.5574,positive,positive,0.9998743534088136,fantastic,Banking Service & Money Handling
👍,4,2025-06-21,BOA,google_play,👍,0.0,neutral,negative,0.6970565915107727,👍,App Functionality / Reliability
it's nice to use.,5,2025-06-21,BOA,google_play,it's nice to use.,0.4215,positive,positive,0.999835729598999,it's nice to use.,App Performance & Updates
